rating,review
3,"Ambience: Would not expect something this nice at Cannery Hotel but it is the nicest looking restaurant there. More for couples than group gatherings.

Service: The ambience & food make up for this, which unfortunately for us, the service has been terrible. We have come fairly close to restaurant closing both times (within the hour), but they do close very early for Vegas. The staff makes it VERY clear that they want to go home right from the start in hurrying orders and are more aggressive as time goes on. Unfortunate.

Food: Very good. A little salty on some items during our first visit but good overall and again, warrants the overall 3 stars. Steak. Scallops wrapped in bacon. Calamari. Cobb salad. etc."
3,"Not a bad little pub. Had the sliders, salt and pepper wings, and mushroom burger -- forgettable, but good. The fries are what I will remember, and come back for."
3,Food was just OK. Seemed like microwaved dinner. The price is OK. Just a one time visit for me
3,"The location at WT Harris and Statesville Road is like the cafeteria for our office staff.  I'm in there at least twice a week. Had lunch there today in fact.

Good enough beer list, good enough food, good enough service so we keep coming back.  Mostly because it's accross the street from the office and therefore really handy for lunch or after work.  

Oyster night (Thursdays) is a great deal.  Pint night on Tuesdays is great too."
3,"We arrived one cold December evening for a gathering of friends for our annual Christmas dinner.

We had made prior reservations for party of 14 and were told that we need half of the party there by our reserved time to claim our table.  We all arrived on time to a restaurant that was barely full than half.  I guess reservations were not totally necessary after all? 

I am by no means an expert on Italian food.  My knowledge of Italian food doesn't go beyond spaghetti and pizza!   I've been to Grazie's Yonge & Eglinton location previously and I enjoyed the freshly made pasta I had that evening. I was expecting the same here.

Our waiter was very friendly and inviting, he promptly took our drink orders and was able to answer all the questions we had about the specials that evening.  

I actually ended up ordering one of the specials, a seafood pasta made with spicy tomato sauce.   When it arrived, I noticed there were a lot of mussels, squid rings, shrimp and clams swimming in tomato sauce.  It looked delish.

Taste though, was not what I expected. The sauce was great, seasoned perfectly with a balance between hot and sweet.  However, not all of the ingredients were fresh. The squid, mussels and shrimps tasted dry. Like it was re-heated from the day before. The squid rings reminded me of the ones you get that are frozen from the market.  The pasta was a bit overcooked.  The sauce was the only redeeming quality.  

Then it struck me, specials are often left over ingredients that the restaurant couldn't clear for whatever reason.  It would explain why despite having a positive experience with the food at their Yonge & Eglinton location, that I am having an average plate of seafood pasta right now at this location.  

Needless to say, I didn't finish my food.  

However, I would advise future diners to stay away from their specials, and hopefully, their main food offerings would be better cooked.  I would revisit Grazie, just not at this location for now."
3,"Ok so we stopped here after a walk in Charlotte. It's not bad. First let me say if you want friendly service this place is probably not for you. If you want a good burger than your in luck. It's inexpensive and good. We sat on the street which was nice. The fries were a little spicy so if your stomach can't handle a little spice then avoid the fries. All in all, I give this place 3 flushes. The service could have been a little better."
3,Way overrated because the place is sooooo small and parking sucks so bad.....great quality food and price but thats it.
3,"Last night our experience at this Outback location did not live up to our previous visits. It took about ten minutes to be greeted after sitting down. This was not to bad but we were right on the cut off of happy hour so I wanted to make sure that we got our drink order in on time. I ended up getting my drink order in two minutes before the cut off so that was okay.

I ordered the new steak flight that they have as a current special. You can get two or three mini sirloins on top of potato cakes with different types of sauces. I got two mini sirloins one with diablo sauce and one with a peppercorn cream sauce. I have had the diablo sauce in the past and I knew that I really liked it. My fiancé got a 8oz sirloin with a baked potato, his usual order. My fiancé also ordered a house salad to come out before our meal. It came out with no dressing and no side of dressing. It took five minutes to flag down our waitress to let her know we needed dressing. We got our steaks and as soon as they came out we could tell that they were not going to be good. We both asked for them to be cooked medium and they came out at least medium well if not well done. My first mini sirloin was just a big piece of fat and grizzle, I could not even cut into it. My fiancé's was not quite as bad but almost. We asked to send them back. My fiancé asked for a filet as a replacement and I just wanted a new order of the same thing that I got.

The manager Gabby did come out and apologize for the quality of the steaks. She was very understanding and told us that she would personally make sure that they came out right. The second time around when Gabby brought them back out they were cooked much better. She also stepped it up and brought a third mini sirloin with an option of three sauces to try on top. I thought that this was great customer service and she really did a great job trying to turn the situation around. We were there much longer than usual but it was not a big deal and Gabby did her best to make sure we were happy. The steaks were still not the best that we have had at Outback but I will give this location another shot because of the fantastic service we received in the end. Gabby also made corrections to our bill and made it right. Good job on turning the situation around. It was still only a three star night but I will give Outback a chance to earn the other two stars back."
3,"We stopped by for dinner on a Wednesday - pretty quiet inside. We were intrigued by the Beef Tips special on the board outside, as we enjoy some New England Steak Tips and thought this might be similiar - wrong. Turned out to be  more like stew beef over rice, not what we were expecting but also not notably tasty. It was served with big broccoli stalks randomly covered in cheese - also not my fav.
The saving grace of this meal was the Salt & Pepper Wings. So good! I asked for a side of hot sauce in case they were bland but it wasn't needed. Super crispy and tasty, I might go back again just to have those. The wings saved this from being a 2 star adventure.
Service was OK, could have been more on-point given how slow they were that evening."
3,"I went to this location to eat one evening.  The waitress was great the food was okay.  I prefer the Arbors or Gastonia locations.  However, each is consistent in the staff is very friendly."
