rating,review
2,"I have been here three times now. For some reason a lot of my coworkers really like it. It's a popular lunch-time destination. 

They are known for their southern, Louisiana style dishes. I would say it's just pretty typical, heaving-tasting foods. Their gyros are not bad actually, but the creole with shrimp and blacken fish I had as a lunch special were just too salty and heavy for me. I'm sure some who love their soul food would appreciate it, but it wasn't for me. 

It gets pretty crowded during lunch hours, and the spaces are quite tight."
2,"Okay I get it. Trader Joe's has some prepackaged stuff that seems like the gods sent it. But really. This IS the place to get food for your cocktail party.
This ISN'T the place to buy all your groceries.

If you shop here (and other places) long enough, you'll notice that some of the stuff is VERY inexpensive and reasonably priced while other stuff is enourmously out-of-control pricey. And then you'll know your way around.

Cheap:
cheese
beer
vodka/liquor
olive oil
peanut butter
cooler/lunchbag

Expensive:
pasta
pre-made food
smoothies
produce (prewrapped/cut)??? 

Also: they don't know what beets are. If that bothers you, then don't come here."
2,"I don't think I've ever been so disappointed in a Korean BBQ establishment before as I was with this place. 

First of all, the servers took forever to come take our orders and I thought it was a bit ridiculous that if one of us wanted to order the veggies, we all had to order it as well. 

Secondly, the grill that my friend and I were sharing wasn't working properly and it took them over half an hour to come fix/replace it. Oh, and if we wanted to order more side dishes or drinks, we had to literally wave and yell a server to come to our table.
The food is subpar. Veggies were dry and wilted. The fish smelled a bit funny and the meats were overly seasoned.

To top it off, the route to the bathroom consisted of passing by meat just literally sitting in buckets of blood. I was so grossed out!

All in all, a pretty bad experience to say the least. Don't think I'll be going there again.

Ps, if you don't have cash or credit, don't even think of going into the place."
2,This was the first time and probably the last time going to Dickey BBQ. I heard some good commits so I tried it. The ribs were dry and the potatoes casserole tasted like boxed mash potatoes and the green bean and bacon was just bland.
2,"Closed super early like 9pm on a sunday... and plenty of bars were still open for drinks and football. Average food meh drinks.


Food 3/10
Service 2/10 - Heather is great!
Parking 1/10
Location 9/10
Music 3/10

Would pass and go to the other bars in the quarter"
2,"You would think that with as many ""cowboys"" are in the phoenix area that there would be some great BBQ. I have to say I was very disappointed with the quality of the food. The baked beans were down right horrible. I gave them two stars because of the free soft serve ice cream that you get with every order. :)"
2,"I stopped In here the other day because I was in Henderson and found myself hungry. I love the breads at Great Harvest Bread Company so I decided to try them for lunch. Big mistake! I was on the mood for a grilled cheese sandwich so that is what I ordered.  That, however, is not what I received. What I received was a cheese sandwich that had been put through an oven on a conveyer, Albeit the cheese was melted the bread was as white and untoasted as when they sliced it off the loaf. I inquired of the young lady at the counter as to why this was the case, (A grilled cheese should come out with a golden brown, crispy, crunchy and delicious exterior crust. Which is created by the application of butter to the exterior of the bread before you GRILL it.)  I was told that they put there garlic butter on the inside of the sandwich so as not to mess up the grill...what grill? there is only the oven with a conveyor belt. This is inadequate, to say the least. That's fine if you want to do it that way but don't call it a grilled cheese sandwich, it is not!!! Perhaps your employer would think about purchasing a Panini grill or something that would produce the desired exterior. 

To the young woman who helped me, don't ask me have a had the sandwich here before because clearly I have not! I have a completely different idea of what a grilled cheese sandwich is, as I'm sure most people would. It was not the warm cheese sandwich that I got.

I have not any other sandwiches here. I'm hopefully they are better. perhaps I will try again...maybe."
2,"Don't ask me why I keep frequenting chain restaurants -- I must be a glutton for punishment.  So, I've been to this Outback a few times before, I used to order the prime rib, but it had come out so fatty the past few times that I stopped ordering it.  Last night, I met a couple friends here and this time I ordered the Outback Special Sirloin with the lobster and mushroom topping (an extra $3.95)  for the more ""indulgent steak experience,"" as stated on the menu.  

So the appetizer and salad came out fine, no problems thus far.  Then the steak came out.  It was cooked fine, but they forgot to include the lobster and mushroom topping for the more indulgent steak experience.  I told my server nicely that they had forgotten the topping and he assured me that it would be right out. The steak was decent and cooked correctly, however I was disappointed because the lobster and mushroom topping came out 10 minutes after my steak, which was cold by now and the ""topping""  wasn't really a lobster topping with mushrooms, it was more of a lobster bisque with mushrooms.  If I had known it was going to be so disappointing, I wouldn't have bothered to wait for it while my steak got cold.  It would have been nice if the server apologized and took the ""topping"" off my bill (yes, it was just $3.95 but it's the principle of the matter), or offered a free dessert, but there was no accountability.  I don't expect to have another indulgent steak experience at Outback anytime soon."
2,"Wasn't overly impressed with the food or beer selection. Being named ""the French quarter"", my husband and I were expecting French inspired food. It's run of the mill pub like food. I had the grilled chicken gryo that was ok and my husband had the corned we'd sandwich. Both looked delicious as they were served to us but there wasn't much in the way of flavor."
2,"I made an appointment with the intent of getting cataracts reviewed, one eye in particular is like looking out a thick fog and is becoming annoying. This practice is very busy and operates like an assembly line-while the initial exam seemed thorough, you then get sent to the ""closer"" who makes sure you know of the upgrades available, and finally the dr. My entire appointment took over 3 hours. When I finally got to Dr Wellish, he was in such a meat market rush that I don't think he understood or cared enough to listen to what I was describing-said I had dry eyes (which seems to be the buzz word of the office as there was notices everywhere and a ""survey"" about the topic required)-maybe its a huge profit center. I was rushed out with copay and eyedrops paid for-and absolutely no feeling of a solution or even understanding of why I was there. Writing this review with the same hazy eye and will most likely pick up my records and go elsewhere. Big may be a big outfit but not better."
